topPostAverStayTime totalPostCount
3706.06 26
625.91 443
2619.84 738
535.58 176
13012.08 621
16852.08 229
4697.89 51
7542.3 112
2035.83 1625
3741.62 582
1877.12 130
8769.41 73
8893.06 51
6605.39 57
4996.52 168
5130.71 184
6021.41 168
3653.98 543
3978.69 51
3481.31 66
6728.58 409
5689.9 59
275.36 7422
7422.75 68
3454.16 27575
13279.61 32
3376.44 6289
761.41 32784
2325.3 23771
3682.3 15270
2734.25 4090
1710.64 770
175.79 414502
156.99 11111
190.65 125416
260.9 17273
1245.91 34027
4782.77 3009
314.85 10533
1633.94 20046
917.82 24758
2829.49 2796
575.04 20907
6698.87 5435
2246.1 30532
2863.99 40778
3894.92 6503
2465.81 29771
2746.35 1091
4435.25 993
3701.58 18275
4141.28 24785
1506.7 1061
5400.17 2605
2465.56 1163
711.9 1092
3378.58 362
2962.9 447
2598.25 359
2100.47 791
2794.74 266
1572.07 490
2253.14 4851
2675.21 706
3758.36 218
12560.47 37
2474.94 240
5799.17 14
2908.28 21
2420.33 205
4402.22 76
5071.35 71
5361.02 121
6356.64 26
12144.81 28
373.8 62202
472.54 11482
1595.2 6156
4446.02 3755
350.31 31421
3506.97 7277
2826.77 9181
5006.93 2241
119.55 489340
157.66 41935
660.29 19798
300.09 140794
514.23 7699
363.65 24980
869.16 8709
458.73 30772
840.51 24808
738.74 16146
1063.72 13893
958.14 4607
948.36 16200
4076.72 6342
1984.21 3789
8821.97 4840
7386.78 3646
3144.04 2479
3176.32 5996
6811.61 1382
8969.59 11076
3437.24 1053
4167.74 1362
4161.54 925
1638.48 746
4917.67 3531
2323.21 1944
9384.7 586
976.28 839
6183.75 25
1958.06 473
3671.78 511
2084.22 269
3041.34 52
2923.53 54
6689.3 34
4052.44 45
28.29 191924
58.54 79523
431.64 72155
11.85 2367137
73.33 343801
51.29 411535
201.19 82780
93.47 95332
374.83 27170
98.92 51179
242.36 31931
144.11 21429
204.46 26658
142.47 27458
253.55 5147
1248.85 89325
